id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
11,8,8,1024,1,128,128,16,128,30,0.16989149342416562,32,512,256,DLMT,1,False,False,False,256,2048,False,1,11,17,1,1,35,2048,1,7,0.17209825714285718,32,False,0.0066610357767836565,True,0.17430502086154873
12,1,8,1024,1,1,64,16,128,3,0.13710976394794974,16,16,16,DLMT,1,False,False,False,512,256,True,29,20,1,256,1,35,128,17,1,0.144862,1,True,0.023399841702761277,True,0.15261423605205024
13,1,32,2048,1,512,256,16,2048,23,0.29599057196927964,1,256,512,DLMT,1,True,False,False,512,1024,False,24,27,1,512,1,35,128,1,18,0.3021363428571428,8,False,0.018550785212403675,True,0.30828211374500597
14,1,8,1024,8,16,256,256,1024,1,0.31599812298958957,512,1,64,DLMT,8,False,True,False,1,64,False,1,27,20,1,1,35,1024,29,6,0.32051877142857144,1,False,0.01364541238885952,True,0.3250394198675533
15,1,1,1,8,16,128,1,2048,5,0.21711967697215712,1,16,128,DLMT,1,False,True,False,1024,256,False,13,26,1,2048,1,35,64,1,30,0.21986231428571432,1,True,0.008278550672918633,True,0.22260495159927152
16,1,32,1024,1,512,512,32,512,3,0.11980471073872723,1,512,32,DLMT,8,True,False,False,1,2048,False,22,1,5,2048,1,35,2048,22,1,0.12103157142857143,8,False,0.0037032342334444787,True,0.12225843211841564
17,1,32,2048,1,16,32,1,1,6,0.16164299624201078,512,512,32,DLMT,8,True,True,False,512,128,True,22,1,25,1,1,35,64,1,17,0.1725876285714286,1,True,0.033035973399644834,True,0.1835322609008464
18,1,1,128,8,64,256,16,1,30,0.1391227071648432,32,1,16,DLMT,1,False,True,False,256,1024,False,1,6,26,128,32,35,128,1,28,0.14020168571428573,1,True,0.0032568573877407698,True,0.14128066426372826
19,1,1,2048,8,128,64,16,128,30,0.22010123887152278,256,128,256,DLMT,1,False,True,True,512,1024,False,12,29,1,128,1,35,1024,6,1,0.22509162857142853,32,False,0.015063309247659105,True,0.2300820182713343
20,1,1,64,32,512,256,1,1,27,0.27137989841045923,512,16,16,DLMT,32,True,True,True,512,1024,True,10,21,1,2048,1,35,2048,1,14,0.27704948571428567,1,True,0.01711344243631961,True,0.2827190730181121
21,1,32,1,1,256,1,512,1024,29,0.24632884874350894,128,32,512,DLMT,1,True,False,True,2048,2048,True,19,1,6,512,8,35,512,1,30,0.24807122857142855,1,False,0.005259309944337972,True,0.24981360839934816
22,1,1,512,1,16,256,1,1024,22,0.13724717942927472,16,256,512,DLMT,32,True,False,False,64,1,False,14,1,6,512,1,35,1,1,10,0.13837825714285715,1,True,0.00341411681399331,True,0.13950933485643957
23,1,1,1024,1,16,512,128,1024,1,0.3150964514259315,128,512,1,DLMT,32,True,True,True,2048,256,True,9,11,1,128,1,35,2048,11,9,0.32408374285714286,1,True,0.027127811306946713,True,0.3330710342883542
24,8,1,512,8,64,1,16,64,1,0.15324996343033537,64,512,1,DLMT,1,True,False,False,512,128,True,3,20,1,2048,32,35,256,27,9,0.1584330857142857,1,False,0.01564506552124604,True,0.163616207998236
25,32,1,128,1,1,512,16,1024,1,inf,256,128,1,DLMT,1,True,False,False,1024,1,False,30,26,1,64,8,1,64,27,28,inf,8,True,inf,False,inf
26,32,1,2048,1,256,32,64,1024,18,inf,1,16,512,DLMT,32,False,True,False,1024,1,True,26,29,1,2048,1,1,1,1,30,inf,1,False,inf,False,inf
27,32,1,2048,1,256,16,32,1,1,0.1178708096054485,1,16,32,DLMT,1,True,True,False,128,1024,True,1,1,20,1024,1,35,1024,10,21,0.11960785714285715,32,True,0.00524321461996554,True,0.1213449046802658
28,1,8,128,1,512,1,32,256,24,0.35147997057430486,32,128,1,DLMT,8,False,True,False,2048,1024,True,30,30,1,1,1,35,2048,22,1,0.3534688571428572,1,True,0.006003381547774823,True,0.35545774371140954
