id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1663,1,1,2048,8,512,16,64,512,23,0.1846065910606741,512,32,1,RS,32,True,True,True,1024,2048,True,16,1,27,2048,1,35,512,28,1,0.18607200000000004,1,True,0.004423283421687041,True,0.187537408939326
1664,1,1,1,32,1,256,16,1024,17,0.17034611017144585,64,64,1,RS,1,True,False,False,1,256,False,1,17,1,128,8,35,128,17,1,0.17265659999999997,8,True,0.006974129255224014,True,0.17496708982855408
1665,1,8,1024,1,64,256,1,1,1,0.13991874743917884,16,16,128,RS,8,False,True,True,2048,256,False,1,1,12,256,8,35,1,20,26,0.1425862,1,True,0.00805160823970679,True,0.14525365256082115
1666,8,1,2048,1,1,32,64,1,8,0.25625972922378515,1,128,64,RS,1,False,False,True,512,256,True,28,9,1,128,32,35,1,17,1,0.2588311714285714,1,True,0.007761804482706005,True,0.2614026136333577
1667,1,8,128,8,256,16,64,512,12,0.1495842493224446,32,1,128,RS,1,False,True,False,64,1024,True,1,1,26,1,1,35,512,29,1,0.15346437142857144,8,True,0.011712007021089122,True,0.1573444935346983
1668,32,1,1024,1,256,512,64,1024,1,0.18382908910708173,64,16,256,RS,32,True,True,False,1024,256,False,1,17,21,1024,1,35,1024,5,20,0.1851004571428571,1,True,0.0038375780334019257,True,0.1863718251786325
1669,8,8,256,1,16,512,1,1,6,0.1272131020375206,512,64,16,RS,8,False,False,False,1,128,False,1,3,7,1024,8,35,1,1,11,0.13004428571428572,1,False,0.00854582463987591,True,0.13287546939105085
1670,1,1,512,8,256,32,256,64,20,0.14345514076300464,32,32,256,RS,32,False,False,True,64,2048,True,27,1,4,512,1,35,1,1,9,0.14519260000000003,1,False,0.005244457320148305,True,0.14693005923699543
1671,8,1,2048,1,1,512,64,2048,24,0.17553214788173482,256,128,32,RS,1,True,False,True,1024,1,False,16,1,13,128,32,35,64,1,9,0.17799611428571427,1,False,0.007437392698948156,True,0.1804600806896937
1672,32,1,128,1,32,512,256,2048,25,0.12496421241298009,1,16,16,RS,1,True,True,False,1,256,True,3,1,19,1024,32,35,1,1,13,0.12577454285714287,1,False,0.002445952882887591,True,0.12658487330130566
1673,1,32,128,1,32,128,128,1024,1,0.2345618823801539,64,64,16,RS,8,False,True,False,64,512,False,5,22,1,256,8,35,128,28,19,0.23743045714285715,1,False,0.008658688268662725,True,0.2402990319055604
1674,8,1,1,8,32,1,256,2048,30,0.10142736729219387,128,256,256,RS,8,True,True,True,1,1,True,1,26,18,128,1,35,1,1,30,0.10247897142857142,1,False,0.003174228720589025,True,0.10353057556494896
1675,8,8,1024,1,16,512,512,1024,1,0.11332741030516962,32,16,1,RS,8,True,False,False,1,1024,True,29,19,1,1024,1,35,1,25,27,0.11437854285714287,8,True,0.003172805260269189,True,0.11542967540911613
1676,1,8,64,8,32,64,1,1024,1,0.1866202659864877,64,32,128,RS,1,True,False,True,64,2048,True,5,1,11,128,1,35,512,21,20,0.18782354285714284,1,True,0.0036320473356170994,True,0.18902681972779797
1677,1,1,64,8,128,128,32,128,6,0.1912587505717248,64,64,16,RS,1,True,False,True,128,128,True,9,1,4,512,8,35,1,1,23,0.1935616,8,False,0.006951066985722407,True,0.1958644494282752
1678,1,1,2048,1,32,64,64,128,1,0.22792778889928833,512,128,128,RS,32,False,True,True,512,2048,True,4,23,1,64,1,35,1,23,17,0.22865254285714284,1,False,0.0021876433810036266,True,0.22937729681499736
1679,8,8,256,1,16,32,128,2048,1,0.11884467273936368,16,128,16,RS,1,False,False,False,128,512,False,25,1,3,1,1,35,1024,12,16,0.12123354285714283,8,False,0.0072107172987469804,True,0.12362241297492198
1680,1,8,512,8,256,512,256,1,22,0.22054277058211896,16,256,256,RS,32,True,True,True,1024,256,True,1,3,17,256,1,35,2048,9,1,0.2219413142857143,1,False,0.004221453147039899,True,0.2233398579893096
1681,1,1,64,32,16,64,128,2048,6,0.3111577720478182,128,64,64,RS,8,False,False,True,256,128,True,28,11,1,64,1,35,256,1,22,0.31274962857142863,1,True,0.004804960841735573,True,0.31434148509503906
1682,8,8,1024,1,128,64,512,1,26,0.20279857871809065,1,1,64,RS,1,False,False,False,256,512,True,6,29,1,512,1,35,512,1,26,0.20401937142857143,32,True,0.0036849182591105764,True,0.20524016413905222
1683,1,1,2048,8,1,16,128,128,4,0.14953705792798697,64,16,1,RS,8,False,False,False,64,128,False,11,20,1,1024,1,35,1,1,26,0.15084791428571429,1,True,0.003956772092584189,True,0.1521587706434416
1684,32,1,1024,1,512,128,512,1024,28,0.10972195805096889,16,256,32,RS,1,False,True,True,1024,2048,False,1,25,22,2048,1,35,2048,1,18,0.11052948571428571,1,True,0.002437492791156268,True,0.11133701337760253
1685,1,8,64,1,32,256,512,1024,25,0.11326991951468998,32,32,64,RS,1,True,True,True,256,256,True,19,1,1,512,1,35,1,1,14,0.11422431428571429,32,True,0.0028808057977034182,True,0.1151787090567386
1686,1,32,1,1,1,1,256,64,3,0.18367894231565637,1,256,512,RS,1,True,True,True,128,512,False,17,6,1,1,1,35,256,1,2,0.18406680000000003,8,False,0.0011707342702033526,True,0.1844546576843437
1687,1,1,1,1,128,1,128,256,1,0.15835505087491197,1,512,64,RS,1,False,False,False,512,128,True,1,12,15,256,1,35,1,25,23,0.15943374285714287,1,True,0.0032559923950670868,True,0.16051243483937377
1688,8,1,64,1,128,64,256,2048,5,0.1063888703753547,1,32,64,RS,1,True,False,False,64,1,False,1,12,5,128,8,35,1024,1,13,0.10885254285714285,1,False,0.007436505505536694,True,0.111316215338931
1689,8,1,128,1,1,256,256,2048,1,0.16359240936225922,32,128,1,RS,32,True,True,False,1024,2048,False,19,1,26,256,1,35,256,21,17,0.16521208571428572,1,False,0.004888933978874734,True,0.16683176206631223
1690,1,8,2048,8,128,1,32,1024,30,0.14629237079041854,32,1,128,RS,1,False,True,True,1,1024,False,26,1,6,2048,1,35,512,14,1,0.1489402,1,False,0.007992375869897156,True,0.15158802920958145
1691,1,32,1024,1,32,1,32,1,1,0.09822752193053555,128,16,1,RS,1,False,False,False,1024,1,False,6,1,26,1024,8,35,64,8,1,0.09924197714285715,8,True,0.0030620960486088815,True,0.10025643235517875
1692,32,1,1024,1,32,64,32,256,1,0.20558504470270986,64,32,128,RS,32,True,False,False,1,1,False,1,16,4,1024,1,35,256,7,20,0.20680877142857146,1,True,0.0036937744774975436,True,0.20803249815443306
