id,T2_K,T2_J,T2_I,RT_K,T1_I,T1_J,T1_K,cost_8,cost_9,VEC2,VEC1,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,mean_cost,RT_I,U_K,U_J,U_I,OMP,cost_7
30,128,2048,256,8,32,1,16,0.507543,0.498322,True,False,0.499458,0.499374,0.497435,0.499469,0.499363,0.499134,0.499308,True,True,False,23,1,0.5001347,1,14,1,20,False,0.501941
31,128,1,1,1,256,1,16,0.312148,0.314922,True,False,0.314118,0.31253,0.312051,0.311192,0.311464,0.311646,0.313088,True,True,False,7,8,0.3125295,1,17,1,13,False,0.312136
32,64,128,1024,8,64,64,64,0.749654,0.745789,False,True,0.743141,0.745855,0.740415,0.738061,0.73718,0.738219,0.738301,True,True,True,16,8,0.7416142000000001,1,25,24,1,False,0.739527
33,1,1,1,1,256,512,64,0.267006,0.266315,True,True,0.267183,0.267771,0.267412,0.266718,0.267697,0.267217,0.268112,False,True,False,21,8,0.26724239999999994,8,1,28,29,False,0.266993
34,128,1,2048,8,16,64,16,0.412386,0.403132,False,True,0.402208,0.402628,0.402631,0.405563,0.402958,0.402251,0.402389,False,False,False,25,1,0.4038501,8,1,30,22,False,0.402355
35,1,2048,1,8,512,512,256,0.305057,0.317575,False,False,0.309591,0.324187,0.307953,0.313737,0.305351,0.307708,0.311447,False,True,True,19,1,0.3114218,8,1,8,22,False,0.311612
36,1,256,256,1,32,32,16,0.36068,0.357356,False,True,0.362842,0.357873,0.358635,0.35682,0.356929,0.359319,0.355936,True,True,False,24,1,0.35860069999999994,1,6,1,15,False,0.359617
37,1,64,1,1,16,32,1,0.638933,0.640262,True,True,0.638544,0.638156,0.637928,0.638318,0.638934,0.639651,0.638944,True,False,True,8,32,0.6387606,1,24,1,19,False,0.637936
38,64,1024,64,8,64,128,64,0.269909,0.265756,False,False,0.265929,0.264295,0.265019,0.264152,0.265701,0.265202,0.270593,True,True,True,2,1,0.26625920000000003,8,27,1,27,False,0.266036
39,2048,1,512,1,64,64,256,0.699172,0.697195,False,True,0.704351,0.719824,0.699172,0.697372,0.698483,0.698794,0.697729,False,True,False,29,1,0.7010209,1,1,23,24,False,0.698117
40,2048,1024,64,1,16,512,32,0.33182,0.334694,True,False,0.334911,0.332236,0.331687,0.332004,0.333385,0.332666,0.332334,False,False,False,20,8,0.3328166,1,13,1,8,False,0.332429
41,1024,64,64,1,32,16,64,0.754704,0.75499,False,True,0.752045,0.754586,0.754176,0.75449,0.755055,0.75427,0.753034,True,False,True,11,8,0.7542458000000001,1,4,20,1,False,0.755108
42,1,1,2048,8,64,1,128,0.256062,0.256235,True,False,0.2532,0.255544,0.254899,0.271438,0.258633,0.257145,0.257171,True,False,True,12,1,0.2574263,8,26,1,4,False,0.253936
43,2048,1,512,8,128,16,64,0.372948,0.374443,False,False,0.372187,0.37438,0.374124,0.372625,0.372674,0.373976,0.373136,False,False,False,23,1,0.3735077,8,20,1,29,False,0.374584
44,512,1,1024,8,128,16,32,0.413459,0.406567,True,True,0.409576,0.421902,0.408074,0.407874,0.407789,0.408245,0.407631,True,False,True,23,1,0.4100359,1,1,24,24,False,0.409242
45,128,2048,512,8,512,128,1,0.724365,0.726517,False,True,0.724503,0.725097,0.724451,0.725441,0.725209,0.725617,0.7305,True,False,True,14,8,0.7261594,1,14,13,1,False,0.729894
46,256,128,128,8,32,1,1,0.369465,0.369164,True,False,0.369771,0.372481,0.370706,0.411943,0.405948,0.37145,0.372099,False,False,True,25,1,0.37829149999999995,8,1,24,6,False,0.369888
