id,RT1_K,RT1_J,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,cost_mean,correct_result,T1_K,T1_Ka,U1_K,U1_J,U1_I,runs,RT1_I,mean_confidence_interval_sup,cost_std
24,8,1,128,RS,0.18868505583558853,64,128,128,0.19331951428571428,True,16,1024,5,7,1,35,8,0.19795397273584003,0.013988943755432469
25,8,1,128,RS,0.21523513597359847,1,32,128,0.2190113714285714,True,64,128,16,9,1,35,1,0.22278760688354435,0.011398428954617798
26,1,1,2048,RS,0.10704629636208345,32,512,64,0.10993268571428572,True,64,2048,23,1,1,35,1,0.11281907506648799,0.008712460957146145
27,1,32,128,RS,0.3122245336300139,256,128,256,0.31815582857142855,True,64,2048,2,16,1,35,1,0.3240871235128432,0.017903397392651028
28,1,1,2048,RS,0.17621630121086365,64,32,2048,0.17954662857142856,True,128,256,1,21,23,35,1,0.18287695593199346,0.010052471639454691
29,8,8,256,RS,0.21021641767765828,64,1,128,0.21519428571428573,True,64,512,24,25,1,35,1,0.22017215375091317,0.01502551306387416
30,1,8,64,RS,0.24889710608607235,64,1,1024,0.2527438285714286,True,256,256,24,1,23,35,8,0.2565905510567848,0.011611191484292122
31,1,32,256,RS,0.2543057811517138,32,32,256,0.2574803428571429,True,1,128,19,5,1,35,1,0.26065490456257195,0.009582298692135725
32,1,1,256,RS,0.26486905859716686,256,256,2048,0.2690195142857143,True,16,2048,14,14,1,35,1,0.27316996997426174,0.012527999077201729
33,1,1,2048,RS,0.09837146206270417,16,512,64,0.09966149428571429,True,1,64,1,25,28,35,32,0.10095152650872441,0.003893915201655222
34,1,32,1024,RS,0.144896551000913,64,256,64,0.1488496857142857,True,256,1,14,1,10,35,1,0.1528028204276584,0.01193239291238393
35,1,1,64,RS,0.1368040568716379,1,32,1,0.1403460857142857,True,1,256,29,1,11,35,1,0.14388811455693348,0.010691484839738929
36,1,1,64,RS,0.28162338377546614,1,32,1024,0.28279945714285715,True,128,256,9,1,29,35,32,0.28397553051024815,0.0035499345534639854
37,1,8,1,RS,0.13934872192814501,1,128,1024,0.14240328571428573,True,512,2048,22,3,1,35,1,0.14545784950042645,0.00922008935057861
38,1,32,1,RS,0.14569565398808354,64,1,64,0.14971777142857143,True,512,1,27,1,14,35,1,0.15373988886905932,0.012140614757524114
39,1,1,64,RS,0.09894547529057014,512,64,1024,0.10232376571428571,True,1,256,1,10,3,35,8,0.10570205613800128,0.010197246395766229
40,1,1,512,RS,0.12178987910280932,512,256,2048,0.12485779999999999,True,16,512,1,24,15,35,32,0.12792572089719068,0.009260407302983107
41,1,1,512,RS,0.22145411003939056,128,256,256,0.22586045714285713,True,512,512,25,16,1,35,8,0.2302668042463237,0.013300397977596346
42,1,32,512,RS,0.14340474847146523,16,512,1,0.14740251428571427,True,128,2048,1,21,5,35,1,0.1514002800999633,0.012067110262128517
43,1,1,256,RS,0.12488198041591926,1,256,2048,0.12709448571428572,True,32,512,1,24,24,35,32,0.12930699101265217,0.006678366525565659
44,1,1,1024,RS,0.10803083523727093,16,1,1024,0.11060828571428573,True,1,256,1,6,5,35,8,0.11318573619130053,0.0077799402332314254
45,8,1,1024,RS,0.24512115533884668,1,64,2048,0.24934154285714283,True,1,128,28,1,3,35,8,0.253561930375439,0.012739085754015602
46,8,1,64,RS,0.1629478085286133,256,32,1024,0.16592542857142858,True,1,256,12,1,25,35,8,0.16890304861424388,0.00898783746844499
47,8,1,1024,RS,0.10092829867495837,32,16,1024,0.10390488285714286,True,1,1,25,13,1,35,1,0.10688146703932735,0.008984710760921602
48,1,1,512,RS,0.12307469598141582,1,16,256,0.12663182857142857,True,16,128,1,5,2,35,8,0.13018896116144132,0.010737074950138797
49,8,1,1024,RS,0.21443727425076353,512,64,1024,0.21789182857142858,True,32,1,23,12,1,35,1,0.22134638289209363,0.010427446186416512
50,1,1,64,RS,0.1589719444710872,64,16,1024,0.16190642857142856,True,16,1024,1,16,30,35,32,0.16484091267176992,0.00885763319979106
51,1,1,128,RS,0.11155717863921318,16,16,2048,0.11439597142857144,True,128,256,2,2,1,35,8,0.11723476421792971,0.008568792468639458
52,32,1,512,RS,0.27376506683888585,256,64,2048,0.27947594285714283,True,256,512,30,18,1,35,1,0.2851868188753998,0.017238070914515857
53,8,8,1024,RS,0.21496308632314673,256,128,1,0.21985517142857142,True,32,2048,8,20,1,35,1,0.2247472565339961,0.014766580415607808
54,8,8,256,RS,0.12848357041527222,1,32,1024,0.13192600000000002,True,512,2048,21,5,1,35,1,0.1353684295847278,0.010390848113329623
55,1,8,512,RS,0.10107551874240461,16,128,1,0.10420589714285715,True,16,1024,27,1,9,35,1,0.10733627554330968,0.009448932997978004
56,1,8,512,RS,0.24375977530758203,16,1,1,0.2479844571428572,True,1,512,1,7,28,35,8,0.25220913897813235,0.012752047993149645
57,8,1,256,RS,0.22701144280269728,1,1,2048,0.22951765714285713,True,128,512,26,1,11,35,8,0.23202387148301698,0.00756491655300159
58,1,8,1024,RS,0.23981386008977337,64,256,2048,0.24362948571428567,True,256,1024,1,10,6,35,1,0.24744511133879796,0.011517326744323538
59,1,1,1,RS,0.2533580035463603,512,512,512,0.2586108285714286,True,256,2048,11,19,1,35,1,0.2638636535964969,0.015855460702385728
60,1,8,1,RS,0.25095827933627174,256,16,1,0.25504725714285714,True,1,512,1,21,1,35,8,0.25913623494944255,0.012342430333361317
61,1,1,1,RS,0.12212781628448327,128,16,1024,0.12451282857142856,True,32,1,1,23,22,35,32,0.12689784085837386,0.0071990725771179905
62,8,8,512,RS,0.1261543767261189,16,16,256,0.1294913142857143,True,32,2048,1,20,20,35,1,0.13282825184530972,0.010072424284072198
63,1,1,512,RS,0.25550723023828653,32,512,2048,0.2597710571428572,True,128,1024,24,1,30,35,8,0.26403488404742786,0.012870205956711149
64,1,32,1,RS,0.14165201375455955,32,64,128,0.14548948571428566,True,128,2048,25,1,29,35,1,0.14932695767401177,0.011583269110159156
65,1,1,2048,RS,0.28853149128618943,32,128,256,0.2944571714285714,True,32,512,8,21,1,35,32,0.3003828515709534,0.01788644932661229
66,1,32,512,RS,0.2750894838782897,64,512,256,0.2806721142857143,True,256,512,5,19,1,35,1,0.28625474469313894,0.016850966216928977
67,8,1,1024,RS,0.11436055070335409,16,256,1024,0.11685885714285715,True,1,2048,3,29,1,35,8,0.11935716358236022,0.007541046843368471
68,1,1,1,RS,0.24543133988023463,16,128,512,0.24926468571428576,True,32,128,14,8,1,35,1,0.2530980315483369,0.011570814550340324
69,1,32,128,RS,0.14233168198107404,64,128,512,0.14628228571428573,True,256,512,14,1,6,35,1,0.1502328894474974,0.011924753241104173
70,8,1,1,RS,0.1978996333109173,128,64,256,0.20152140000000002,True,1,64,14,1,4,35,8,0.20514316668908272,0.010932170620172899
71,8,1,1,RS,0.09265362954413263,16,1,1,0.09565694857142858,True,16,1024,1,2,22,35,1,0.09866026759872452,0.00906540891553859
72,8,1,1,RS,0.19236851625339124,512,16,512,0.19654811428571428,True,32,1,1,20,11,35,1,0.20072771231803732,0.012615964178704985
73,1,1,64,RS,0.11286143306438656,16,16,1,0.11527219999999999,True,32,1,13,4,1,35,32,0.11768296693561342,0.007276812044530802
74,8,1,128,RS,0.1006750051701444,16,16,64,0.1031072114285714,True,128,128,1,7,30,35,1,0.10553941768699841,0.00734152585828514
75,1,32,2048,RS,0.24992696640877535,64,32,1,0.25545917142857144,True,16,2048,17,22,1,35,1,0.2609913764483675,0.016698759024012556
76,1,1,1,RS,0.28982115395627417,32,64,1024,0.2956499714285714,True,256,1024,13,19,1,35,32,0.30147878890086865,0.01759407289074642
77,8,1,1024,RS,0.17724790286111763,16,128,512,0.1804386,True,1,64,13,10,1,35,1,0.18362929713888237,0.009631002909354766
78,1,1,128,RS,0.10521751473745437,32,128,64,0.10863305714285713,True,1,1,1,30,3,35,8,0.1120485995482599,0.010309690143446484
79,1,8,2048,RS,0.2530532630086127,16,256,512,0.2572156857142857,True,256,1024,2,30,1,35,8,0.26137810841995873,0.012564121081809395
80,1,8,2048,RS,0.2388579569178574,1,32,1,0.24360517142857135,True,16,1024,26,28,1,35,8,0.2483523859392853,0.01432929381070363
81,1,1,1,RS,0.0951178437535481,16,1,128,0.09753750857142858,True,64,2048,1,10,6,35,32,0.09995717338930905,0.0073036699775375705
82,1,8,1,RS,0.23296355943695055,16,32,1024,0.23619348571428575,True,1,64,1,8,25,35,8,0.23942341199162095,0.00974941463260063
83,32,1,1024,RS,0.14080814314934018,64,1,1,0.14469145714285714,True,512,2048,21,1,19,35,1,0.1485747711363741,0.011721641616728451
84,1,8,64,RS,0.24300797160104282,64,64,128,0.2468982285714286,True,128,2048,1,17,19,35,1,0.2507884855418144,0.011742598739110316
85,8,1,256,RS,0.10315584477879627,16,256,2048,0.10632459999999999,True,16,1,1,13,20,35,8,0.10949335522120371,0.009564772031336061
86,32,1,512,RS,0.10607753623962515,32,32,1,0.10960851428571428,True,32,256,1,1,7,35,1,0.1131394923318034,0.010658128413486456
87,32,1,2048,RS,0.2262487240685295,256,32,512,0.23053928571428572,True,32,128,1,24,11,35,1,0.23482984736004195,0.012950903797631664
88,8,8,1024,RS,0.22566839104727002,64,16,64,0.2297148857142857,True,16,64,5,8,1,35,1,0.23376138038130137,0.012214196526458006
89,1,8,1,RS,0.24269256340558581,16,256,1,0.24651814285714288,True,256,2048,25,1,2,35,8,0.25034372230869995,0.011547372008118456
90,1,1,2048,RS,0.09523262595100064,16,64,256,0.09821978285714288,True,32,2048,1,19,21,35,1,0.10120693976328511,0.009016624142469466
91,1,8,1024,RS,0.23696310524550415,256,64,512,0.2417296,True,32,64,10,1,15,35,8,0.24649609475449583,0.014387490523169276
92,8,1,64,RS,0.09887728369037418,256,64,1,0.10174279428571427,True,512,2048,1,9,5,35,8,0.10460830488105435,0.00864943919126529
93,1,1,256,RS,0.22841760416982815,128,128,1,0.23338145714285718,True,16,256,18,21,1,35,8,0.23834531011588622,0.014983209105705829
94,1,1,256,RS,0.10250471435171025,512,32,2048,0.1052668457142857,True,32,64,10,1,8,35,1,0.10802897707686114,0.008337392748690097
95,8,1,64,RS,0.11528516277924211,1,64,256,0.11723739999999998,True,64,1024,1,3,2,35,1,0.11918963722075784,0.005892756828514137
96,1,8,512,RS,0.19397774674208046,16,64,128,0.19690111428571427,True,64,64,1,10,12,35,1,0.1998244818293481,0.00882407827892823
97,1,1,2048,RS,0.20649444811976622,64,64,256,0.21053531428571426,True,512,1,1,6,3,35,32,0.2145761804516623,0.012197207101326643
98,8,8,256,RS,0.1173738288981579,1,32,512,0.12042074285714285,True,128,1,16,1,11,35,1,0.12346765681612781,0.009196998626393154
99,1,1,1,RS,0.09359147739130427,32,32,64,0.09632884857142857,True,64,1,1,3,8,35,1,0.09906621975155286,0.008262655041272713
100,1,1,512,RS,0.3436863959595004,128,32,1,0.35057239999999995,True,256,512,28,13,1,35,32,0.3574584040404995,0.020785151978137795
101,1,32,1024,RS,0.10863132132661209,128,128,128,0.10885242857142856,True,64,128,27,1,1,35,1,0.10907353581624503,0.0006674041519505397
102,32,1,512,RS,0.2924261734288173,1,32,1,0.2980842285714285,True,16,1,30,15,1,35,1,0.3037422837140397,0.01707863302841254
103,1,1,128,RS,0.12613174483419937,256,128,1024,0.1290209714285714,True,512,2048,20,1,30,35,1,0.13191019802294346,0.008721025069126134
104,1,1,2048,RS,0.12195563385600171,32,256,128,0.12558308571428572,True,128,128,2,12,1,35,1,0.12921053757256973,0.010949331095998325
105,8,1,1,RS,0.15690492036799547,64,256,256,0.16095025714285716,True,128,128,22,3,1,35,1,0.16499559391771884,0.01221070147123382
106,8,8,128,RS,0.21380968783100118,1,64,128,0.2177526,True,256,512,13,16,1,35,1,0.2216955121689988,0.011901536535134564
107,1,1,512,RS,0.31133257763959815,256,64,1,0.3174402571428572,True,1,2048,25,1,12,35,32,0.3235479366461162,0.01843580775764205
108,32,1,1,RS,0.10072841451392554,64,256,512,0.10362426571428571,True,256,256,9,1,26,35,1,0.10652011691464587,0.008741021200619616
109,8,1,512,RS,0.11774766271544004,64,512,128,0.11999225714285716,True,1,128,12,1,19,35,1,0.12223685157027428,0.0067752263909158965
110,8,1,128,RS,0.19147991040061613,256,64,256,0.19603777142857143,True,1,256,14,1,29,35,8,0.20059563245652673,0.01375773723107051
111,1,1,512,RS,0.1642965292011449,512,16,1,0.16822854285714284,True,64,256,1,2,16,35,32,0.17216055651314077,0.011868639771245559
112,1,1,1024,RS,0.2074587375006984,512,64,1,0.21151017142857143,True,64,128,18,4,1,35,8,0.21556160535644445,0.01222910550515967
113,1,8,64,RS,0.23943137225188704,16,32,256,0.2441954857142857,True,64,2048,23,5,1,35,8,0.24895959917668437,0.014380302679849329
114,8,8,64,RS,0.11961789043079814,32,64,256,0.12293874285714286,True,512,512,7,2,1,35,1,0.1262595952834876,0.010023871896179658
115,8,8,2048,RS,0.20061089540850802,128,512,2048,0.2029229142857143,True,512,2048,19,17,1,35,1,0.20523493316292057,0.0069787446327972125
116,1,1,128,RS,0.202291638264112,1,32,1,0.20691468571428573,True,1,1,1,6,30,35,32,0.21153773316445945,0.013954500068378208
117,1,8,512,RS,0.23596370263032496,32,256,512,0.23938714285714283,True,16,128,19,13,1,35,8,0.2428105830839607,0.010333529429256305
118,8,8,1,RS,0.2212185916403059,32,512,2048,0.2258381142857143,True,1,64,1,10,5,35,1,0.23045763693112267,0.013943860573787468
119,1,1,512,RS,0.15809580677268303,1,16,512,0.16138185714285713,True,16,1,29,1,16,35,32,0.16466790751303123,0.009918823159291941
120,1,8,2048,RS,0.21979262150076465,32,128,1,0.22458685714285714,True,32,1024,1,26,12,35,1,0.22938109278494964,0.014471225380325027
121,32,1,2048,RS,0.08332542641043217,16,32,512,0.08597535142857143,True,256,2048,1,27,21,35,1,0.0886252764467107,0.007998701991568788
122,8,1,256,RS,0.1098400392844618,16,256,256,0.11316214285714286,True,64,256,2,1,28,35,8,0.11648424642982393,0.010027648435751048
123,1,32,256,RS,0.28128246320680506,1,128,1,0.2868363428571429,True,16,256,1,20,7,35,1,0.2923902225074807,0.016764183105559743
124,1,32,64,RS,0.3073083562716534,256,64,256,0.3115103714285714,True,1,512,11,11,1,35,1,0.3157123865854894,0.012683629451463833
125,1,1,256,RS,0.10874997229177821,32,128,64,0.11163722857142858,True,128,2048,1,29,30,35,8,0.11452448485107894,0.00871507774602061
126,8,8,1,RS,0.19903606190723272,64,1,64,0.2016060285714286,True,128,256,22,8,1,35,1,0.20417599523562446,0.007757350617265132
127,1,8,128,RS,0.23590960836078126,128,128,128,0.23824571428571428,True,64,512,15,14,1,35,8,0.2405818202106473,0.007051450507606534
128,1,1,128,RS,0.3071079160807279,128,1,256,0.31143551428571425,True,32,64,15,9,1,35,32,0.3157631124907006,0.01306269730048437
129,32,1,512,RS,0.2157002249824803,64,16,1,0.21917085714285714,True,256,256,8,12,1,35,1,0.222641489303234,0.010475976559028094
130,1,8,1,RS,0.24877303001490214,32,1,1024,0.2528686,True,1,2048,1,15,14,35,1,0.25696416998509786,0.012362328583702533
131,8,1,2048,RS,0.12797839261797284,512,16,1024,0.13195308571428574,True,16,256,28,1,3,35,1,0.13592777881059864,0.011997466104786884
132,8,1,1,RS,0.09875951799684267,1,16,128,0.10184413428571429,True,512,1,19,27,1,35,8,0.10492875057458591,0.009310801733683696
133,32,1,256,RS,0.17295105433516392,16,64,512,0.1772523142857143,True,32,512,23,1,10,35,1,0.1815535742362647,0.012983196240352768
134,8,1,256,RS,0.10927899865770245,16,1,1,0.11205368571428571,True,32,128,1,15,25,35,1,0.11482837277086898,0.008375291652990542
135,8,1,1024,RS,0.10171384661761132,1,32,1024,0.10507480857142856,True,64,1024,1,22,14,35,8,0.1084357705252458,0.010144941041562718
136,1,1,2048,RS,0.20412519696633447,128,16,128,0.20853371428571432,True,256,2048,10,15,1,35,1,0.21294223160509418,0.013306948695155854
137,8,8,256,RS,0.2034894553682074,256,16,256,0.2083226857142857,True,64,2048,1,14,20,35,1,0.213155916060364,0.014588929471684884
138,8,8,1,RS,0.2124232245142999,1,32,64,0.21720105714285712,True,512,1,25,25,1,35,1,0.22197888977141433,0.014421713482390481
139,1,1,2048,RS,0.23295665439813626,1,16,64,0.2378298571428572,True,32,1024,9,18,1,35,32,0.24270305988757815,0.01470958469869776
140,32,1,2048,RS,0.1972712651924929,64,128,1024,0.2009852,True,32,512,28,1,24,35,1,0.2046991348075071,0.011210376723120672
141,32,1,2048,RS,0.25801321910755265,256,512,2048,0.2632674857142857,True,128,1,21,29,1,35,1,0.26852175232101877,0.015859812064048514
142,1,1,2048,RS,0.23506616801407262,64,128,64,0.23987388571428575,True,256,1,12,7,1,35,1,0.24468160341449888,0.014511920480904024
143,1,1,512,RS,0.1040276803371197,512,32,512,0.10715140000000001,True,256,256,18,1,1,35,1,0.11027511966288031,0.009428833841543109
144,1,1,512,RS,0.23339108315715307,512,64,512,0.23802199999999998,True,16,128,29,10,1,35,8,0.2426529168428469,0.013978253543067736
145,1,32,2048,RS,0.0915612768536372,1,16,128,0.09459100285714285,True,16,2048,28,17,1,35,1,0.0976207288606485,0.009145117409837127
146,8,8,2048,RS,0.11614065269402893,16,512,128,0.11654682857142856,True,128,2048,22,1,8,35,1,0.1169530044488282,0.00122602706765073
147,1,1,512,RS,0.10483057057881214,512,1,2048,0.10734377142857142,True,32,1,11,1,13,35,1,0.1098569722783307,0.00758600507734271
148,8,8,64,RS,0.2229276352905629,128,16,256,0.22560948571428568,True,16,256,1,21,24,35,1,0.22829133613800848,0.008095067663606487
149,1,8,64,RS,0.24784847132354923,1,1,64,0.24880274285714288,True,512,1024,3,23,1,35,8,0.24975701439073653,0.002880433810015006
150,1,8,1,RS,0.2510332551565918,32,256,1,0.25557777142857147,True,128,512,17,1,10,35,8,0.2601222877005511,0.013717456572007002
151,8,8,1,RS,0.11365824778594891,16,256,512,0.1168232,True,128,256,17,1,4,35,1,0.1199881522140511,0.009553292792988784
152,32,1,1024,RS,0.14467992143584782,32,1,1,0.14884917142857143,True,512,1,1,28,3,35,1,0.15301842142129504,0.01258472899869569
153,1,8,256,RS,0.2512822605338768,16,64,1024,0.2557926,True,1,1,1,14,4,35,8,0.26030293946612315,0.013614295130381994
154,32,1,2048,RS,0.0978139887982846,512,256,1,0.09817442857142857,True,128,1,4,1,10,35,1,0.09853486834457253,0.0010879743055189255
155,1,1,1,RS,0.2095649495613014,256,64,512,0.2124960857142857,True,512,1,1,5,1,35,32,0.21542722186726998,0.00884752754283503
156,32,1,128,RS,0.13749130052077713,64,128,64,0.14038371428571428,True,16,2048,1,18,2,35,1,0.14327612805065143,0.008730645427201257
157,1,1,64,RS,0.2420539274675089,32,64,2048,0.2452271428571428,True,64,256,26,23,1,35,1,0.24840035824677673,0.009578234887024875
158,8,1,1024,RS,0.23522722389864448,16,256,64,0.23867128571428567,True,64,1,19,29,1,35,8,0.24211534752992686,0.01039577494279405
159,8,1,1,RS,0.10056691718335632,128,16,128,0.10364947714285715,True,32,128,1,11,23,35,8,0.10673203710235797,0.009304594778497826
160,32,1,512,RS,0.25997183175383287,1,256,1,0.2643792,True,256,1,20,18,1,35,1,0.2687865682461671,0.013303480259584062
161,8,1,256,RS,0.14985226162776183,32,16,1,0.15370517142857143,True,1,128,10,26,1,35,8,0.15755808122938103,0.011629867670259843
162,1,1,128,RS,0.20692442417163262,16,32,2048,0.21135631428571428,True,64,2048,25,1,13,35,8,0.21578820439979593,0.013377498623266992
163,8,1,64,RS,0.23794230866030763,1,32,512,0.24222342857142862,True,64,256,27,1,14,35,8,0.2465045484825496,0.012922404266092535
164,1,8,2048,RS,0.24026820282640066,1,16,2048,0.24105511428571427,True,1,1,1,22,5,35,1,0.2418420257450279,0.0023752635315016377
165,8,1,64,RS,0.2024538880129187,1,16,128,0.20340222857142856,True,16,128,11,14,1,35,1,0.20435056912993843,0.0028625313781009028
166,8,8,1024,RS,0.21879348477965951,1,32,1,0.22366205714285717,True,16,1,15,12,1,35,1,0.22853062950605482,0.014695608060997302
167,8,8,512,RS,0.1254008070277414,32,64,1024,0.12726471428571426,True,32,128,2,1,5,35,1,0.12912862154368712,0.005626136058338687
168,1,1,1024,RS,0.12622047296795078,1,64,512,0.12799845714285715,True,128,128,25,1,27,35,1,0.12977644131776353,0.005366780366784738
169,8,1,1,RS,0.1924525520213248,64,512,64,0.19515339999999998,True,128,1,10,10,1,35,8,0.19785424797867515,0.008152411090153461
170,32,1,512,RS,0.10440716396987337,128,1,2048,0.10688557142857143,True,1,2048,7,1,9,35,1,0.10936397888726948,0.007480982495771581
171,1,32,64,RS,0.3162995884634595,256,64,512,0.3218028285714285,True,1,512,1,23,10,35,1,0.3273060686793975,0.01661132949437257
172,8,1,1024,RS,0.10132920923094835,512,64,512,0.10424044857142857,True,64,2048,1,15,8,35,8,0.1071516879119088,0.008787469740175378
173,32,1,1024,RS,0.1262149681102826,64,512,2048,0.1298184,True,16,2048,16,1,23,35,1,0.1334218318897174,0.010876827697186607
174,1,1,512,RS,0.22326536098433783,64,512,256,0.22654745714285718,True,16,256,10,20,1,35,1,0.22982955330137653,0.00990688751567127
175,1,1,128,RS,0.24327143415537325,256,64,2048,0.2439678,True,512,1,3,17,1,35,32,0.24466416584462677,0.0021019548968927563
176,8,1,1,RS,0.1340515662543963,1,16,128,0.13633528571428574,True,256,512,6,1,15,35,8,0.1386190051741752,0.006893323874057641
177,32,1,512,RS,0.27391113769065145,256,512,256,0.2795348857142857,True,32,64,17,10,1,35,1,0.28515863373791994,0.016975078241387415
178,1,8,512,RS,0.2530043215637901,128,256,128,0.2567962,True,128,256,1,18,6,35,1,0.26058807843620985,0.011445646722787542
179,1,8,2048,RS,0.1051007150753262,1,64,2048,0.10750602857142856,True,32,2048,18,1,24,35,1,0.10991134206753092,0.007260351036321332
180,1,1,1,RS,0.0970024860549506,512,1,1024,0.1000523657142857,True,32,1,9,1,15,35,1,0.10310224537362081,0.009205950484704144
181,1,32,1,RS,0.0964902810539496,16,16,1024,0.09951754571428571,True,64,1024,1,1,10,35,1,0.10254481037462182,0.009137687935275623
182,1,8,512,RS,0.2328067648903599,256,512,512,0.23711945714285718,True,1,64,30,21,1,35,8,0.24143214939535446,0.013017704226701333
183,1,1,128,RS,0.28605595422315055,128,1,512,0.290215,True,128,128,28,15,1,35,1,0.29437404577684945,0.01255392794535411
184,1,32,2048,RS,0.14332145980914132,1,64,1024,0.14598102857142856,True,512,512,26,1,23,35,1,0.1486405973337158,0.008027811281452267
185,8,1,1,RS,0.09811120507766953,128,64,128,0.09838716857142857,True,128,2048,1,24,8,35,8,0.0986631320651876,0.0008329857380948291
186,1,1,512,RS,0.10641976782789245,16,64,256,0.10735834285714285,True,1,512,7,1,5,35,32,0.10829691788639326,0.002833054484301424
187,8,1,1024,RS,0.1910456669451847,1,64,256,0.19529902857142856,True,64,256,1,28,29,35,1,0.1995523901976724,0.012838616895880322
188,1,8,1,RS,0.24346334709409634,64,16,256,0.24670028571428568,True,1,64,27,1,8,35,8,0.24993722433447502,0.009770581133678591
189,8,8,1,RS,0.11798510319684515,128,1,1024,0.12128794285714287,True,64,1,16,1,13,35,1,0.12459078251744059,0.00996950101901611
190,1,8,256,RS,0.2401616760518691,256,128,512,0.2444809428571429,True,64,64,1,21,23,35,8,0.24880020966241667,0.013037549274401575
191,1,1,1024,RS,0.23515278412377036,16,32,1024,0.2397222857142857,True,512,2048,4,14,1,35,32,0.24429178730480103,0.013792873844482008
192,8,1,512,RS,0.2136271819788183,1,128,1024,0.21745162857142858,True,1,256,21,1,8,35,8,0.22127607516403885,0.011543952514716996
193,1,1,256,RS,0.14698770000966566,1,16,1,0.15092037142857145,True,1,64,9,3,1,35,8,0.15485304284747725,0.011870625204586116
194,1,1,2048,RS,0.20363596341530085,256,64,1,0.20788859999999998,True,16,1,18,12,1,35,8,0.2121412365846991,0.012836428384428876
195,8,8,256,RS,0.23905994306308848,64,64,64,0.2443530285714286,True,16,64,1,30,15,35,1,0.24964611407976872,0.015976985502341823
196,8,8,256,RS,0.11834518428567514,32,256,1,0.12096548571428573,True,128,2048,25,1,22,35,1,0.12358578714289631,0.007909284267316763
197,1,8,1024,RS,0.2515382049811169,32,32,512,0.2524184000000001,True,256,512,25,28,1,35,1,0.2532985950188833,0.0026568365528521734
198,32,1,1,RS,0.12679951236332793,512,1,1,0.12837428571428572,True,16,2048,9,1,20,35,1,0.1299490590652435,0.004753395908319072
