id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
44,128,1024,DLMT,1,1,False,32,256,True,1,512,32,True,0.1535957616685748,1,512,2048,512,False,False,True,512,True,16,True,1,False,16,8,256,True,1,12,12,1,12,4,1,0.004981356682344147,35,0.15689635261713947,8,0.15524605714285714,8,1,1,True,1024,1024,12,1024,True,8,8,8,1
45,512,256,DLMT,1,32,False,1,16,True,128,512,32,False,0.25063629598215853,1,64,512,1024,True,False,True,1,True,1,False,256,False,4,4,1024,True,1,12,4,1,8,1,16,0.007028763153831058,35,0.2552934754464129,4,0.2529648857142857,4,8,1,True,2048,1024,1,1,False,1,8,1,4
46,1,1024,DLMT,1,32,True,1,512,False,16,32,8,False,0.16157133130831314,16,16,128,1024,True,True,False,64,True,1,True,1,True,8,16,1024,False,1,12,1,16,4,4,1,0.0008556399042320816,35,0.1621382686916868,8,0.16185479999999997,1,32,1,True,2048,2048,16,64,True,8,32,1,1
47,16,2048,DLMT,1,1,False,1,64,True,128,256,32,True,0.14627150353064436,64,512,2048,1,True,False,False,1,False,1,True,1,False,4,8,256,False,4,1,1,16,8,1,4,0.008243801297548927,35,0.15173375361221272,16,0.14900262857142854,4,1,32,True,2048,128,12,256,False,1,1,1,4
48,16,512,DLMT,1,8,False,8,512,False,16,64,1,False,0.12014965840908343,512,32,512,1024,False,False,False,512,False,512,True,1,True,16,4,1,False,1,16,12,1,12,1,16,0.007898107818035032,35,0.12538285587663092,12,0.12276625714285717,16,8,1,True,2048,2048,12,64,False,8,1,1,1
49,32,1024,DLMT,1,8,True,8,64,False,256,1,32,False,0.16371422601818564,32,512,2048,2048,False,True,False,32,True,256,True,1024,False,1,8,1,True,1,16,16,1,12,12,1,0.00683674133236839,35,0.1682441739818143,4,0.16597919999999997,16,32,1,True,2048,512,16,512,True,1,32,1,8
50,64,2048,DLMT,1,1,False,8,1,True,32,512,1,False,0.11930083485769098,128,16,1024,1,True,True,True,1,True,256,False,256,False,4,4,256,False,4,1,1,1,4,1,4,0.010372370331504637,35,0.1261734508565948,4,0.12273714285714288,16,1,32,True,128,1,16,512,True,1,32,1,4
51,1,1,DLMT,1,1,True,8,128,True,64,64,32,False,0.15348957353306922,16,64,64,256,True,True,True,128,False,64,False,2048,True,12,12,2048,True,1,16,16,1,1,1,8,0.0058542605190840405,35,0.1573685407526451,12,0.15542905714285715,16,32,1,True,1024,256,8,256,True,16,32,1,1
52,16,128,DLMT,32,8,True,8,128,True,16,256,1,False,0.15030050498075886,64,1,1,2048,True,True,False,32,False,256,True,1,False,1,16,256,False,1,8,4,1,8,4,1,0.0078043086322719885,35,0.1554715521620983,4,0.15288602857142858,8,32,1,True,512,1024,1,2048,False,16,32,1,1
53,32,2048,DLMT,8,8,True,8,128,False,64,32,8,False,0.11782433756150766,512,32,1024,64,True,True,True,512,True,1,False,2048,False,1,1,1,True,16,1,4,1,12,1,16,0.00638268645532105,35,0.12205343386706376,4,0.11993888571428571,1,32,1,True,2048,256,12,256,True,4,1,1,1
