id,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,speedup_O3,T2_K,T2_J,T2_I,points,RT_I,cost_mean,RT_J
39,8,128,1,256,1,2,16,DLMT,2,1.5171595168768615,2048,2048,1,114,8,0.09370640666666666,1
40,8,1,512,128,1,18,13,DLMT,4,1.5159394065971847,1,1,256,127,8,0.09378182666666667,1
41,8,1,1,512,9,1,10,DLMT,2,1.5139893505278836,1,512,1,118,8,0.09390262000000002,1
42,8,512,1,512,14,20,1,DLMT,30,1.5268326520743434,2048,128,1024,126,8,0.09311273666666671,1
43,8,64,1,512,1,17,16,DLMT,23,1.5384823215071504,2048,1,1,114,8,0.09240767000000003,1
44,8,64,16,1,1,15,3,DLMT,11,1.5291662138654305,512,128,128,129,8,0.09297064333333335,1
45,8,32,16,1,30,11,1,DLMT,1,1.533817513121789,2048,128,128,119,8,0.09268871,1
46,8,64,1,1,3,1,15,DLMT,29,1.509471511002562,1,2048,256,117,8,0.09418367000000001,1
47,8,16,1,512,21,17,1,DLMT,3,1.538733260744547,512,1,1,122,8,0.09239260000000003,1
48,8,512,64,512,1,10,23,DLMT,22,1.5144075884513188,2048,1,2048,117,8,0.09387668666666663,1
49,8,512,512,256,1,18,16,DLMT,16,1.5247818199394587,256,512,2048,118,8,0.09323797333333331,1
50,8,1,16,512,1,3,16,DLMT,2,1.5303836645764723,512,2048,1,129,8,0.09289668333333329,1
51,8,32,128,1,23,16,1,DLMT,1,1.5290922021703084,2048,128,1,129,8,0.0929751433333333,1
52,8,16,512,512,1,24,13,DLMT,15,1.5124926312995763,1,1,1,102,8,0.09399554333333333,1
53,8,128,512,512,30,1,9,DLMT,10,1.5118985127975637,1,1,1,114,8,0.09403248000000003,1
54,8,1,512,128,18,1,23,DLMT,10,1.5036874837512884,128,1,1,124,8,0.09454595333333331,1
55,8,1,512,1,29,1,21,DLMT,23,1.5144998684364248,2048,1,2048,120,8,0.09387096666666667,1
56,8,512,128,512,1,15,7,DLMT,30,1.526951380493147,1,2048,1,117,8,0.09310549666666662,1
57,8,1,64,64,1,20,16,DLMT,28,1.5102061136793106,64,2048,1,106,8,0.0941378566666667,1
58,8,64,512,512,1,21,8,DLMT,26,1.5297417758428513,512,2048,2048,120,8,0.09293566333333333,1
59,8,512,512,512,1,30,17,DLMT,1,1.5157187928358877,2048,1,1024,113,8,0.09379547666666668,1
60,8,1,128,1,11,15,1,DLMT,17,1.524188522164742,2048,1,64,125,8,0.09327426666666665,1
61,8,512,128,1,1,14,11,DLMT,9,1.5176898351970076,1,256,2048,129,8,0.09367366333333337,1
62,8,512,16,512,30,13,1,DLMT,1,1.5332548652133704,512,64,2048,132,8,0.09272272333333337,1
63,8,32,1,1,1,18,16,DLMT,30,1.5284933000452412,2048,128,128,125,8,0.09301157333333337,1
64,8,1,512,1,17,1,15,DLMT,29,1.5169824667458394,2048,1,1,109,8,0.0937173433333333,1
65,8,512,32,1,24,2,1,DLMT,1,1.5306404281028827,2048,256,1,121,8,0.09288110000000002,1
66,8,256,512,1,18,1,12,DLMT,28,1.5151827993416513,2048,512,1,121,8,0.09382865666666666,1
67,8,128,512,1,1,18,10,DLMT,18,1.525259496316369,1,2048,256,115,8,0.09320877333333338,1
68,8,1,16,512,1,13,30,DLMT,30,1.5291848001498993,2048,2048,2048,122,8,0.09296951333333331,1
69,8,128,64,64,1,11,13,DLMT,19,1.4967539420178395,512,1,1,107,8,0.09498392666666665,1
70,8,32,1,512,17,21,1,DLMT,21,1.5327483722153619,1,1,1,106,8,0.09275336333333332,1
71,8,32,512,512,1,18,14,DLMT,30,1.5294457685810792,2048,512,1,126,8,0.09295365000000004,1
72,8,128,16,256,1,11,19,DLMT,1,1.534915655209239,2048,256,2048,136,8,0.09262239666666666,1
73,8,512,128,128,1,16,23,DLMT,10,1.5082364216527067,512,2048,1024,140,8,0.09426079666666665,1
74,8,512,1,1,30,1,12,DLMT,17,1.517921503490842,2048,2048,1,122,8,0.09365936666666665,1
75,8,512,512,1,6,1,11,DLMT,14,1.514538805789628,2048,1,1024,116,8,0.09386855333333334,1
76,8,512,16,256,1,14,15,DLMT,15,1.5181441099407023,1,128,1,105,8,0.09364563333333333,1
77,8,512,16,512,1,16,13,DLMT,5,1.5212773455451365,1,1,1,122,8,0.09345275999999998,1
78,8,512,1,512,1,15,14,DLMT,16,1.5227195820927022,1,1,1,110,8,0.0933642466666667,1
79,8,32,512,512,1,23,11,DLMT,9,1.519520477288158,1,512,2048,131,8,0.09356081000000001,1
80,8,1,256,512,30,17,1,DLMT,28,1.5225843343949597,1,1,1024,117,8,0.09337253999999996,1
81,8,1,1,512,29,1,14,DLMT,30,1.5171282697330994,1,1024,1,103,8,0.09370833666666661,1
82,8,512,1,512,1,18,17,DLMT,25,1.5270004187499138,2048,1,512,130,8,0.0931025066666667,1
83,8,128,16,256,1,16,21,DLMT,10,1.5194246073407733,1024,2048,1,123,8,0.09356671333333333,1
84,8,512,16,512,1,12,1,DLMT,30,1.534105503274602,1024,2048,1,135,8,0.09267131000000002,1
85,8,512,16,512,2,1,2,DLMT,28,1.503631025595728,2048,1,2048,118,8,0.09454950333333333,1
