id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
27,32,1024,DLMT,32,1,False,1,64,False,64,256,1,False,0.13499193492116748,32,1,512,1024,False,False,False,512,True,32,True,2048,True,1,4,1024,True,12,1,16,1,8,1,4,0.0015703149181106391,35,0.13603240793597535,1,0.13551217142857142,1,32,1,True,512,1024,1,256,False,1,1,1,1
28,512,1,DLMT,1,1,True,32,64,True,16,32,32,False,0.14866491840556292,1,128,2048,128,True,False,False,32,False,128,False,128,False,4,8,128,True,16,1,16,1,12,1,4,0.0014259097300907055,35,0.14960971016586563,4,0.14913731428571428,8,1,8,True,2048,1,1,512,True,16,1,1,1
29,1,128,DLMT,32,1,False,1,16,False,16,64,1,True,0.11282808654889938,256,16,256,64,True,True,True,128,False,128,False,1,True,4,4,2048,False,12,1,16,1,16,1,12,0.0012645612109844781,35,0.11366597059395779,4,0.11324702857142858,16,8,8,True,512,2048,4,1,True,1,1,32,4
30,512,1,DLMT,1,1,True,8,128,False,256,1,8,True,0.09380137453552793,128,128,1,1,False,False,False,256,False,128,False,2048,False,12,12,2048,False,1,1,1,1,16,8,1,0.003159002424902326,35,0.09589449403590063,16,0.09484793428571428,16,1,1,True,512,128,4,256,False,16,8,8,1
31,16,256,DLMT,8,1,True,8,16,True,256,32,1,True,0.11304755704961088,1,256,1024,2048,False,False,True,1,False,128,True,1,False,12,16,2048,False,8,1,8,1,16,1,4,0.0019372070461341605,35,0.11433112866467483,1,0.11368934285714286,4,32,1,True,64,256,16,2048,True,1,1,32,4
32,256,256,DLMT,32,1,False,32,16,False,256,128,1,False,0.11294083180037845,1,1,512,256,False,True,False,32,False,64,False,1024,False,16,4,2048,False,1,1,4,1,1,1,1,0.0024352866195139463,35,0.11455442534247867,16,0.11374762857142856,8,8,1,True,2048,1024,12,2048,True,1,32,1,16
33,128,1024,DLMT,32,1,False,8,1,False,512,128,1,False,0.0887119750419674,512,256,256,1,False,True,True,16,True,16,False,1024,True,8,4,1,True,12,1,12,1,4,16,1,0.002479070428445274,35,0.09035457924374687,16,0.08953327714285714,8,1,32,True,128,512,1,2048,True,1,32,1,4
34,16,512,DLMT,1,32,True,1,512,False,256,16,1,False,0.13344572470388424,32,32,1,256,False,True,True,32,True,64,False,2048,False,1,1,64,False,1,12,1,1,4,1,12,0.0021811102909354402,35,0.13489090386754435,1,0.1341683142857143,16,8,8,True,256,1024,16,1024,True,1,1,1,1
35,16,128,DLMT,1,1,True,1,256,False,1,32,1,True,0.14981049142906322,64,64,128,2048,True,False,True,32,False,64,True,1,False,1,16,256,False,1,12,1,16,8,1,1,0.0015639780613315947,35,0.15084676571379396,12,0.1503286285714286,1,32,1,True,128,2048,4,1024,False,1,8,8,12
36,64,2048,DLMT,8,32,False,1,256,False,16,32,1,True,0.13549342130254285,16,512,1,128,True,True,True,1,False,16,True,2048,False,8,4,64,True,1,12,8,1,12,1,16,0.002358994300760478,35,0.13705646441174288,12,0.13627494285714287,16,8,1,True,256,1,4,64,False,8,1,32,1
37,1,256,DLMT,8,1,False,32,32,True,512,512,1,True,0.0957034883361223,32,16,1024,1024,True,False,False,32,True,128,True,1,False,1,1,128,True,16,1,1,16,8,1,16,0.002103231592585319,35,0.09709706594959197,1,0.09640027714285714,1,8,8,True,1,512,12,1,False,1,1,1,1
38,16,64,DLMT,8,8,False,1,512,False,32,32,1,True,0.0715710646122075,64,1,512,2048,True,False,False,1,False,512,True,2048,True,1,16,1024,True,1,8,12,1,1,1,16,0.002082001474104049,35,0.07295057538779248,12,0.07226081999999999,4,8,1,True,512,512,12,2048,True,1,1,32,4
39,32,512,DLMT,1,32,False,1,16,True,32,512,32,False,0.11537262238760138,16,32,2048,1,True,False,False,128,True,512,True,1,False,8,8,128,False,1,4,4,1,12,16,1,0.002170380176609713,35,0.11681069189811294,12,0.11609165714285716,16,1,32,True,512,512,16,1024,True,12,32,1,1
40,64,1,DLMT,32,32,False,1,32,True,512,1,1,False,0.20001854377404718,128,32,1,1024,False,True,False,16,False,512,False,1,True,16,1,512,True,16,1,1,16,16,12,1,0.0016082345945229522,35,0.20108414194023852,4,0.20055134285714285,1,1,32,True,1,64,1,2048,False,16,1,32,1
41,128,256,DLMT,1,1,False,1,32,False,256,256,8,False,0.09528837475377598,32,16,128,1,False,False,False,16,False,16,True,2048,False,12,8,256,True,1,1,4,1,8,1,8,0.00195958510278402,35,0.09658677381765259,1,0.09593757428571428,1,1,32,True,2048,1,1,2048,True,1,1,8,1
42,256,1,DLMT,8,1,True,1,512,True,1,16,8,True,0.09953132589184996,512,16,1,64,False,False,False,32,False,64,False,64,True,1,16,1,False,1,4,16,1,16,1,16,0.0015879527513559,35,0.10058348553672147,8,0.10005740571428572,8,1,32,True,128,1,8,64,True,1,1,1,16
43,512,2048,DLMT,1,1,True,8,64,True,32,32,32,False,0.13509282112529147,128,32,2048,256,True,True,True,128,True,128,True,512,True,8,1,1024,False,1,12,1,16,16,16,1,0.0017991129741840972,35,0.13628489316042286,8,0.13568885714285717,12,8,8,True,1024,256,8,1024,False,8,32,1,1
44,16,2048,DLMT,32,8,True,1,64,True,128,32,1,True,0.06933739900684947,32,512,2048,256,True,True,True,256,False,32,True,1024,False,16,16,256,False,1,16,1,16,4,1,12,0.0027592753652022923,35,0.07116566385029337,12,0.07025153142857142,4,1,8,True,256,1,1,2048,True,4,1,1,1
45,1,256,DLMT,32,8,True,1,64,True,128,64,1,True,0.13469868340499652,64,1,512,1024,True,False,True,32,False,32,False,1,False,12,12,256,True,1,1,1,8,8,4,1,0.001920439702202577,35,0.135971145166432,1,0.13533491428571426,4,32,1,True,2048,512,16,512,False,8,32,1,1
46,16,2048,DLMT,8,32,False,1,1,False,1,512,1,True,0.15353175239246827,1,32,2048,1,True,False,False,64,False,16,False,256,False,1,12,64,True,1,1,1,1,12,8,1,0.0017012634982895064,35,0.1546589904646746,16,0.15409537142857144,1,32,1,True,128,128,12,2048,False,1,8,1,8
47,64,64,DLMT,1,8,False,1,256,True,32,256,32,True,0.13114228444905401,1,64,256,512,False,True,True,256,True,64,False,2048,False,12,1,128,False,1,4,1,16,12,8,1,0.007365227285573967,35,0.13602240126523174,16,0.13358234285714288,1,1,32,True,1024,256,16,1024,False,16,8,1,1
48,1,512,DLMT,1,8,True,1,16,True,16,1,1,False,0.10426061876397884,32,32,2048,256,False,False,False,64,True,64,True,1024,True,8,1,1024,True,1,16,8,1,16,1,4,0.002906378761782225,35,0.10618635266459257,16,0.1052234857142857,4,8,8,True,256,256,1,256,False,16,32,1,1
49,1,1,DLMT,32,1,False,32,1,False,128,1,1,True,0.2026892047950385,128,1,2048,512,True,False,False,512,True,64,False,2048,False,1,4,256,False,1,12,16,1,1,16,1,0.0015933892963729598,35,0.20374496663353298,16,0.20321708571428573,12,32,1,True,1024,1,12,2048,False,8,1,32,1
50,1,2048,DLMT,1,1,False,8,256,False,1,256,32,False,0.15350120554608063,1,1,256,2048,False,True,True,32,False,512,False,512,False,1,8,64,True,16,1,12,1,8,1,1,0.0007805579250034664,35,0.15401839445391938,16,0.1537598,12,8,8,True,64,256,4,1,False,8,1,1,1
51,32,1,DLMT,1,8,False,8,32,False,128,64,8,False,0.09497180208772942,32,32,1,2048,False,False,False,32,False,64,False,1024,True,12,1,64,False,1,8,12,1,12,1,1,0.0028154784805573684,35,0.09683730648369913,1,0.09590455428571427,16,1,1,True,128,128,12,64,False,1,8,1,4
52,16,1,DLMT,1,32,False,1,16,True,256,32,32,False,0.19260697706110472,256,64,64,1024,True,False,False,64,True,256,False,2048,False,1,8,2048,False,1,16,16,1,8,1,1,0.0008292842894044612,35,0.19315645151032387,8,0.1928817142857143,4,8,1,True,1,2048,1,2048,False,12,1,32,1
53,16,2048,DLMT,1,32,True,1,16,True,1,256,32,True,0.1717330001717057,512,256,1024,64,True,False,False,256,False,256,True,1024,True,4,4,1,False,1,16,1,1,16,16,1,0.0020350475852632345,35,0.17308139982829432,12,0.1724072,8,8,1,True,2048,128,1,1,False,1,1,1,16
54,32,64,DLMT,1,32,False,1,64,True,1,256,1,True,0.07350763169667048,16,64,256,2048,True,False,True,128,False,16,True,128,False,12,16,2048,True,12,1,16,1,16,12,1,0.0016345403064283173,35,0.07459065973190095,4,0.07404914571428571,12,8,8,True,256,1,8,1,True,16,32,1,1
55,512,1024,DLMT,32,32,True,1,1,True,16,256,1,True,0.11944736976679529,512,32,512,512,False,False,False,128,True,512,True,512,False,4,12,1024,False,8,1,1,4,4,1,4,0.0012198092443710476,35,0.12025560166177615,1,0.11985148571428572,16,8,8,True,1024,64,1,512,True,16,1,8,1
56,256,256,DLMT,1,1,False,1,16,True,128,64,8,False,0.0879777973920608,512,128,256,2048,False,True,False,512,True,1,False,512,False,1,16,1,False,8,1,8,1,4,1,16,0.00301167553454138,35,0.08997329975079635,8,0.08897554857142857,1,1,32,True,2048,2048,1,2048,False,4,1,8,1
57,64,1,DLMT,32,8,True,8,512,True,64,256,1,True,0.07127009206162194,16,1,1,64,True,False,False,64,True,16,True,1,False,1,1,1024,True,1,16,1,1,4,12,1,0.0015178885261535428,35,0.07227582793837808,4,0.07177296000000001,4,1,32,True,128,1024,16,1,True,4,8,8,1
58,128,512,DLMT,1,32,False,1,256,False,1,32,32,False,0.19333171049232517,64,64,1,1,False,False,True,256,False,1,False,1,True,16,8,1,False,8,1,16,1,16,16,1,0.0006821842051791581,35,0.19378371807910344,1,0.1935577142857143,1,1,1,True,1,2048,1,512,False,16,1,1,1
59,16,64,DLMT,8,8,True,8,128,True,512,256,8,False,0.0901097818850509,256,32,128,1,True,False,True,64,True,32,True,2048,False,4,16,1024,False,12,1,1,12,16,1,8,0.0026018926138313627,35,0.09183376668637769,16,0.09097177428571429,1,1,32,True,2048,512,16,1,False,4,8,8,1
60,32,1024,DLMT,8,1,False,8,256,False,32,128,8,False,0.09262563824569618,1,512,256,512,False,False,True,64,True,32,False,256,False,12,12,2048,False,16,1,1,4,12,1,16,0.0017199861768879762,35,0.0937652817543038,1,0.09319546,12,1,1,True,128,256,4,128,True,1,32,1,1
61,16,1024,DLMT,32,1,True,32,256,True,128,1,1,True,0.1030672031628006,16,128,1,128,False,False,False,32,True,256,True,512,True,16,16,1024,False,1,4,16,1,4,12,1,0.0029046147752590282,35,0.10499176826577084,1,0.10402948571428572,4,1,32,True,2048,512,8,64,False,4,1,1,1
62,32,2048,DLMT,8,1,True,32,16,True,256,512,1,True,0.07103677337496984,256,128,1,1024,False,False,False,16,False,1,True,256,True,1,4,2048,False,4,1,4,1,4,8,1,0.0025069833114819465,35,0.07269787233931586,12,0.07186732285714285,8,1,1,True,128,1024,1,2048,True,4,1,1,1
63,32,1,DLMT,32,1,False,32,1,True,1,128,1,False,0.15447758513208504,32,512,64,512,False,True,True,16,True,32,True,64,True,4,1,1024,False,1,4,1,1,8,8,1,0.0015150548386384012,35,0.15548144343934356,8,0.1549795142857143,16,32,1,True,2048,256,4,1024,False,1,32,1,8
