id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,speedup,U1_J,U1_I,U8_I,U7_I,U7_J,U2_I,cost_mean,U9_I,RT3_I,RT3_J,points,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
22,64,1024,DLMT,32,8,True,1,32,False,256,32,1,False,64,32,2048,512,True,False,False,128,False,32,False,128,False,12,16,64,True,8,1,1.3579262610091043,1,1,16,16,1,1,0.06849882571428571,16,1,1,69,1024,256,16,64,True,1,32,1,4
23,1,128,DLMT,32,8,True,1,1,True,256,256,1,True,1,128,1,2048,False,True,False,1,True,64,False,2048,True,1,16,64,True,16,1,1.299098185337265,12,1,1,4,1,12,0.07160071142857141,16,8,8,69,1024,1024,1,2048,True,1,1,8,12
24,64,1024,DLMT,32,8,True,1,32,False,512,32,1,True,16,256,1,2048,False,False,False,64,False,256,True,256,False,1,4,1,True,1,1,1.2818906874553437,1,8,16,4,1,16,0.0725618457142857,1,8,1,69,2048,256,8,128,True,16,8,8,1
25,32,1,DLMT,8,32,False,1,64,False,32,16,1,True,16,16,64,2048,True,False,False,16,True,16,True,2048,False,12,16,2048,False,1,4,1.3407724127024392,1,4,16,16,1,12,0.06937520000000001,12,32,1,69,1,2048,8,2048,True,1,8,1,4
26,32,2048,DLMT,32,8,True,1,512,True,16,16,1,False,1,1,2048,1024,True,False,True,128,False,128,True,1,True,4,4,128,True,1,12,1.3808886294716864,4,1,4,16,1,8,0.06735977999999998,8,1,32,69,1024,1,12,1024,True,4,8,1,1
27,1,256,DLMT,8,1,False,1,512,True,512,1,1,True,16,1,1024,1024,True,False,True,64,True,1,False,512,True,1,1,1,True,1,16,1.3522571746125396,1,12,16,8,1,4,0.06878599428571427,1,1,32,69,64,512,8,64,True,1,32,1,1
28,128,256,DLMT,1,32,False,1,256,True,64,1,8,False,16,16,1,2048,True,True,True,32,True,16,True,64,True,1,4,2048,True,4,1,1.3016550863055498,16,1,1,16,1,1,0.07146006285714285,4,1,8,69,512,1,1,64,True,4,1,1,1
29,1,1,DLMT,8,8,False,1,128,False,512,256,8,True,64,256,1,2048,True,False,True,32,False,128,False,128,True,4,8,2048,True,1,4,1.3559341489221157,4,1,4,12,1,8,0.06859946285714286,12,1,1,69,512,128,16,256,True,4,32,1,1
30,128,1,DLMT,1,1,True,1,64,False,32,32,1,True,32,512,1,128,False,False,False,1,False,1,True,2048,True,12,4,2048,True,4,1,1.2585070653617039,1,8,1,16,1,12,0.07391007714285713,16,1,32,69,128,128,8,2048,True,8,1,1,1
31,128,128,RS,1,1,False,1,16,False,256,1,8,False,128,16,256,2048,True,False,True,512,False,1,False,1,True,12,1,128,False,4,1,1.3740424650081728,16,1,8,1,8,1,0.06769539999999999,1,1,8,69,1,2048,12,1024,True,1,8,8,4
32,128,2048,RS,8,8,True,1,512,True,1,128,1,False,32,64,256,256,True,False,False,16,True,512,False,1,True,12,1,1,False,1,1,1.3409690185585488,1,1,16,16,1,12,0.0693650285714286,4,8,1,69,1,1024,8,128,True,1,32,1,4
33,16,1024,RS,8,8,True,1,512,False,32,1,8,True,1,64,256,1024,True,False,False,128,True,16,False,256,False,8,8,128,False,1,1,1.3448663888122827,1,12,8,4,1,4,0.06916401142857144,1,1,1,69,1024,1,1,128,True,8,32,1,1
34,1,1,RS,8,8,True,1,512,True,32,16,8,True,1,256,512,512,True,True,True,256,False,512,True,1,True,1,8,512,False,1,16,1.3769183539621186,1,8,12,12,1,8,0.06755400857142856,12,8,1,69,256,1,8,512,True,16,1,1,1
35,32,2048,RS,1,1,True,1,32,True,256,16,1,True,16,32,512,512,True,False,False,64,False,16,False,512,True,16,8,2048,True,1,4,1.2965740817996387,1,1,16,4,1,16,0.0717401,1,8,8,69,64,1024,8,1024,True,1,8,1,16
36,256,1,RS,1,8,False,1,32,False,64,256,8,False,32,128,512,512,True,True,True,32,False,512,True,1024,True,12,4,64,False,8,1,1.3278083378309777,1,12,4,1,1,8,0.07005254571428571,4,8,1,69,1024,1,4,1,True,1,1,8,1
37,128,128,RS,32,1,False,1,32,False,256,16,1,True,64,64,1,2048,True,True,True,1,False,256,True,1,True,8,12,2048,True,1,16,1.3163887216117918,8,1,16,4,1,1,0.07066024857142857,4,8,8,69,1024,1024,1,1,True,16,8,8,1
38,64,1024,RS,8,32,True,1,256,True,64,256,8,True,256,1,128,1,True,False,True,256,True,16,True,512,True,8,4,1,True,1,12,1.3357269070959925,1,8,12,4,1,12,0.0696372542857143,4,8,1,69,256,1,16,2048,True,1,1,1,8
39,128,512,RS,8,8,False,1,128,True,64,256,8,False,64,1,512,128,True,False,False,64,False,128,True,1024,True,8,12,1,False,1,8,1.3401545290802541,4,1,1,8,1,4,0.06940718571428571,4,8,8,69,2048,256,12,1,True,1,8,8,1
40,128,1024,RS,1,8,False,1,64,True,128,16,32,False,16,256,512,256,True,True,True,64,False,1,False,2048,True,12,8,1,True,1,12,1.3793523573096909,1,4,8,12,1,8,0.06743480285714289,16,1,1,69,128,256,1,1,True,8,8,8,1
