id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
582,512,128,DLMT,8,8,True,1,512,False,256,1,1,True,0.16978166542386408,512,64,1,2048,True,True,False,128,True,1,False,64,False,4,16,1024,True,16,1,1,12,16,1,16,0.00484521264249779,35,0.1729920488618502,1,0.17138685714285715,16,8,1,True,1024,1,1,64,True,12,32,1,1
583,512,128,DLMT,8,8,True,1,16,False,16,64,1,True,0.17938142006069394,512,64,2048,2048,True,False,True,128,True,1,False,64,True,12,16,1024,True,16,1,1,12,16,1,16,0.0026253990151158778,35,0.181120979939306,1,0.18025119999999997,16,8,1,True,2048,256,16,2048,True,12,32,1,1
584,512,128,DLMT,8,8,True,1,16,False,32,256,1,True,0.17669185042406885,512,64,1,2048,True,False,False,128,True,1,False,1,True,12,16,1,True,16,1,1,12,16,1,16,0.0058796422453987396,35,0.18058763529021685,16,0.17863974285714285,12,8,1,True,128,64,8,512,True,12,32,1,1
585,512,128,DLMT,8,8,True,1,512,True,512,1,1,False,0.16842168246705636,512,64,512,2048,True,True,True,128,True,1,False,64,True,16,12,1,True,16,1,1,12,16,1,16,0.004568152489144997,35,0.17144848896151516,4,0.16993508571428576,16,8,1,True,2048,2048,8,1024,True,12,32,1,1
586,512,128,DLMT,8,8,True,1,1,True,512,1,1,True,0.1700080112425417,512,64,1,2048,True,True,True,128,True,1,False,2048,False,16,12,2048,True,16,1,1,12,16,1,16,0.0066104874101070394,35,0.1743880459003154,16,0.17219802857142855,4,8,1,True,2048,512,16,1024,True,12,32,1,1
587,512,128,DLMT,8,8,True,1,32,False,32,16,1,False,0.17231664442341793,512,64,1,2048,True,True,True,128,True,1,False,1,True,4,4,2048,True,16,1,1,12,16,1,16,0.004626997998349977,35,0.17538244129086772,16,0.17384954285714282,1,8,1,True,2048,1024,8,64,True,12,32,1,1
588,512,128,DLMT,8,8,True,1,16,False,1,256,1,False,0.17439697879971403,512,64,2048,2048,True,True,True,128,True,1,False,256,True,1,16,2048,True,16,1,1,12,16,1,16,0.007564764776412347,35,0.1794093069145716,16,0.17690314285714281,16,8,1,True,2048,1,4,1,True,12,32,1,1
589,512,128,DLMT,8,8,True,1,512,True,32,32,1,False,0.17194227495723127,512,64,1024,2048,True,False,True,128,True,1,False,2048,True,4,16,1024,True,16,1,1,12,16,1,16,0.007802846904528514,35,0.17711235361419728,16,0.17452731428571427,1,8,1,True,1024,1,16,1024,True,12,32,1,1
590,512,128,DLMT,8,8,True,1,256,True,32,256,1,True,0.17031708652565997,512,64,1,2048,True,True,False,128,True,1,False,1,True,16,4,2048,True,16,1,1,12,16,1,16,0.0054532399835664075,35,0.17393034204576863,1,0.1721237142857143,4,8,1,True,128,256,1,1,True,12,32,1,1
591,512,128,DLMT,8,8,True,1,128,False,16,1,1,False,0.1721246606790065,512,64,2048,2048,True,True,False,128,True,1,False,512,False,1,12,1,True,16,1,1,12,16,1,16,0.004441960238728954,35,0.1750678536067078,16,0.17359625714285715,1,8,1,True,128,512,16,2048,True,12,32,1,1
592,512,128,DLMT,8,8,True,1,1,False,256,512,1,True,0.1693940357360946,512,64,2048,2048,True,True,True,128,True,1,False,128,True,16,8,2048,True,16,1,1,12,16,1,16,0.004557772043444033,35,0.17241396426390546,1,0.17090400000000003,12,8,1,True,1024,512,16,1,True,12,32,1,1
593,512,128,DLMT,8,8,True,1,512,False,512,16,1,False,0.16979978541457724,512,64,2048,2048,True,True,False,128,True,1,False,64,True,1,1,2048,True,16,1,1,12,16,1,16,0.004927470113474423,35,0.17306467172827988,12,0.17143222857142856,1,8,1,True,128,512,16,128,True,12,32,1,1
594,512,128,DLMT,8,8,True,1,128,False,64,128,1,False,0.17373824264634694,512,64,1,2048,True,False,False,128,True,1,False,2048,True,16,8,2048,True,16,1,1,12,16,1,16,0.00950371926318688,35,0.18003530021079603,4,0.17688677142857148,1,8,1,True,128,2048,1,2048,True,12,32,1,1
595,512,128,DLMT,8,8,True,1,128,False,64,16,1,True,0.16939327302684182,512,64,2048,2048,True,False,False,128,True,1,False,64,True,1,16,1,True,16,1,1,12,16,1,16,0.008219228213134845,35,0.1748392412588725,12,0.17211625714285717,8,8,1,True,2048,1,1,1024,True,12,32,1,1
596,512,128,DLMT,8,8,True,1,512,False,64,128,1,False,0.16756257719605339,512,64,1,2048,True,True,False,128,True,1,False,128,False,8,8,1,True,16,1,1,12,16,1,16,0.004117425554486041,35,0.17029073708966097,8,0.16892665714285718,1,8,1,True,1,1,4,128,True,12,32,1,1
597,512,128,DLMT,8,8,True,1,1,False,64,256,1,True,0.17258336098986884,512,64,1,2048,True,False,False,128,True,1,False,128,False,12,16,1,True,16,1,1,12,16,1,16,0.005538222129079008,35,0.17625292472441687,1,0.17441814285714285,4,8,1,True,1,2048,4,1,True,12,32,1,1
598,512,128,DLMT,8,8,True,1,32,True,64,1,1,False,0.1712456647091873,512,64,512,2048,True,True,False,128,True,1,False,128,True,1,16,2048,True,16,1,1,12,16,1,16,0.003895951144352774,35,0.17382707814795548,16,0.1725363714285714,4,8,1,True,512,128,16,1,True,12,32,1,1
599,512,128,DLMT,8,8,True,1,256,False,64,32,1,True,0.16983556752201392,512,64,512,2048,True,True,False,128,True,1,False,1024,False,16,16,2048,True,16,1,1,12,16,1,16,0.003136454112008446,35,0.17191374676370033,4,0.17087465714285713,16,8,1,True,2048,1,8,64,True,12,32,1,1
600,512,128,DLMT,8,8,True,1,512,False,64,1,1,True,0.1709083252487189,512,64,512,2048,True,True,False,128,True,1,False,256,True,1,16,2048,True,16,1,1,12,16,1,16,0.010271280807997352,35,0.1777139604655668,16,0.17431114285714286,16,8,1,True,256,2048,1,128,True,12,32,1,1
601,512,128,DLMT,8,8,True,1,64,True,64,16,1,False,0.17021423863356452,512,64,2048,2048,True,True,False,128,True,1,False,64,False,1,1,512,True,16,1,1,12,16,1,16,0.0034636996351371145,35,0.1725092470807212,1,0.17136174285714287,16,8,1,True,256,2048,16,2048,True,12,32,1,1
602,512,128,DLMT,8,8,True,1,32,False,64,256,1,False,0.16827224265071195,512,64,512,2048,True,False,False,128,True,1,False,512,False,12,16,1,True,16,1,1,12,16,1,16,0.004236069202764783,35,0.1710790144921452,16,0.16967562857142857,16,8,1,True,128,1024,16,1024,True,12,32,1,1
603,512,128,DLMT,8,8,True,1,32,True,64,512,1,True,0.17189566024056138,512,64,1,2048,True,False,False,128,True,1,False,256,False,16,4,512,True,16,1,1,12,16,1,16,0.004609874375551609,35,0.17495011118801004,12,0.1734228857142857,16,8,1,True,2048,2048,1,1024,True,12,32,1,1
604,512,128,DLMT,8,8,True,1,128,False,64,512,1,False,0.1724855412587743,512,64,2048,2048,True,False,False,128,True,1,False,512,True,12,1,2048,True,16,1,1,12,16,1,16,0.007594545276656375,35,0.1775176015983685,8,0.1750015714285714,1,8,1,True,2048,1,16,1,True,12,32,1,1
605,512,128,DLMT,8,8,True,1,512,False,64,128,1,False,0.16833581142103596,512,64,512,2048,True,False,False,128,True,1,False,1024,False,4,12,1,True,16,1,1,12,16,1,16,0.005765058360962715,35,0.17215567429324977,16,0.17024574285714286,1,8,1,True,2048,2048,16,1,True,12,32,1,1
606,512,128,DLMT,8,8,True,1,16,True,64,16,1,False,0.17889603405659743,512,64,1,2048,True,True,False,128,True,1,False,2048,False,4,16,1024,True,16,1,1,12,16,1,16,0.009955221091447032,35,0.1854922516576883,12,0.18219414285714286,4,8,1,True,1024,64,1,1024,True,12,32,1,1
607,512,128,DLMT,8,8,True,1,128,True,64,128,1,True,0.16938104567088433,512,64,2048,2048,True,True,False,128,True,1,False,1024,True,16,12,512,True,16,1,1,12,16,1,16,0.005208695273662834,35,0.17283226861482995,1,0.17110665714285714,8,8,1,True,1,128,16,1,True,12,32,1,1
608,512,128,DLMT,8,8,True,1,512,True,64,32,1,True,0.16989279809001895,512,64,512,2048,True,False,False,128,True,1,False,256,False,8,16,1,True,16,1,1,12,16,1,16,0.004775301291830193,35,0.17305685905283819,1,0.17147482857142857,4,8,1,True,1,1,16,2048,True,12,32,1,1
609,512,128,DLMT,8,8,True,1,16,False,64,16,1,False,0.17696586517527915,512,64,512,2048,True,False,False,128,True,1,False,64,True,16,4,1,True,16,1,1,12,16,1,16,0.005021922871342637,35,0.1802933348247208,4,0.17862959999999997,16,8,1,True,512,128,4,64,True,12,32,1,1
